lang,path,title,description
ja,/photographers/daguerre.html,ルイ・ダゲール｜ダゲレオタイプと写真術の公開｜写真の座標,ルイ・ダゲールを、ダゲレオタイプ、銀板写真、1839年の写真術公開、《タンプル大通り》から解説。
ja,/photographers/talbot.html,フォックス・タルボット｜カロタイプと『自然の鉛筆』｜写真の座標,フォックス・タルボットを、カロタイプ、ネガ・ポジ法、写真集『自然の鉛筆』から解説。
ja,/photographers/fenton.html,ロジャー・フェントン｜クリミア戦争と初期戦争写真｜写真の座標,ロジャー・フェントンを、クリミア戦争、《死の影の谷》、戦争写真が見せたもの／隠したものから解説。
ja,/photographers/beato.html,フェリーチェ・ベアト｜幕末日本・横浜写真・手彩色写真｜写真の座標,フェリーチェ・ベアトを、幕末日本、横浜写真、手彩色写真、クリミア戦争から東アジアへの記録写真で解説。
ja,/photographers/nadar.html,ナダール｜肖像写真・気球・航空写真｜写真の座標,ナダールを、肖像写真、ボードレールやユゴーのポートレート、気球による航空写真、地下撮影から解説。
ja,/photographers/legray.html,ギュスターヴ・ル・グレー｜海景写真とコンビネーション・プリント｜写真の座標,ギュスターヴ・ル・グレーを、《大波》、海景写真、空と海を合成するコンビネーション・プリントから解説。
ja,/photographers/muybridge.html,エドワード・マイブリッジ | 連続写真と映像前史 | 写真の座標,馬の連続写真から投影装置まで、マイブリッジの実践を科学・大学制度・映像前史の交差点として写真史的に解説。運動の分解と再生が写真と映画の境界を揺らした意味を読み解く。
ja,/photographers/marey.html,エティエンヌ＝ジュール・マレー | クロノフォトグラフィーと身体科学 | 写真の座標,クロノフォトグラフィーで運動を一枚の画像に凝縮したマレーを、生理学・身体科学・映像前史の文脈から解説。マイブリッジとの方法論的対照と、近代的身体計測との関係を論じる。
ja,/photographers/riis.html,ジェイコブ・リース | スラムの可視化と社会改革写真 | 写真の座標,ニューヨークのスラムをフラッシュ写真・書籍・講演で可視化したリースを、社会改革・メディア史・ドキュメンタリー前史から解説。改革の道具としての写真が孕む表象の問題も論じる。
ja,/photographers/marville.html,シャルル・マルヴィル | パリ都市変容の写真記録 | 写真の座標,ハウスマン改造前後のパリを市の委嘱で記録したマルヴィルの実践を、行政的近代化・都市史・写真アーカイブの観点から解説。旧市街の消滅と新都の出現という二重記録を論じる。
ja,/photographers/annan.html,トーマス・アナン | グラスゴー旧市街とドキュメンタリー前史 | 写真の座標,グラスゴー旧市街を改善委嘱で記録したアナンを、都市史・出版写真・ドキュメンタリー前史の文脈で解説。改善記録として撮られた写真が都市貧困の証言として再評価される逆説を論じる。
ja,/photographers/brady.html,マシュー・ブレイディ｜南北戦争写真と肖像スタジオ｜写真の座標,マシュー・ブレイディを、南北戦争写真、アンティータムの死者、大統領肖像、写真スタジオの記録体制から解説。
ja,/photographers/cameron.html,ジュリア・マーガレット・キャメロン | ヴィクトリア朝の肖像写真家 | 写真の座標,湿板写真の揺らぎとソフトフォーカスを用い、家族や使用人を聖母・文学の人物として撮影。後のピクトリアリズムに先立ち、肖像写真を外見の記録から感情と想像力の像へ転じた写真家。
ja,/photographers/emerson.html,ピーター・ヘンリー・エマーソン｜自然主義写真とドキュメンタリー｜写真の座標,美術館・アーカイブ資料を手がかりに、ピーター・ヘンリー・エマーソンの自然主義写真、ドキュメンタリーを読み解く写真史解説。
ja,/photographers/stieglitz.html,アルフレッド・スティーグリッツ | 291ギャラリーとエクイヴァレンツ | 写真の座標,291ギャラリーと写真誌『カメラ・ワーク』を主宰し、写真を絵画と並ぶ芸術として美術館に送り込んだアメリカ近代写真の中核。「エクイヴァレンツ」では被写体ではなく形式そのものが内面を語ると主張し、抽象写真の理論的基盤を築いた。
ja,/photographers/kasebier.html,ガートルード・ケーゼビア｜ピクトリアリズムと写真分離派｜写真の座標,美術館・アーカイブ資料を手がかりに、ガートルード・ケーゼビアのピクトリアリズム、写真分離派、ポートレートを読み解く写真史解説。
ja,/photographers/steichen.html,エドワード・スタイケン｜ピクトリアリズムと写真分離派｜写真の座標,美術館・アーカイブ資料を手がかりに、エドワード・スタイケンのピクトリアリズム、写真分離派、ポートレートを読み解く写真史解説。
ja,/photographers/demachy.html,ロベール・ドマシー｜ピクトリアリズムと1890 — 1910s｜写真の座標,美術館・アーカイブ資料を手がかりに、ロベール・ドマシーのピクトリアリズム、1890 — 1910sを読み解く写真史解説。
ja,/photographers/strand.html,ポール・ストランド｜ストレート写真とモダニズム｜写真の座標,美術館・アーカイブ資料を手がかりに、ポール・ストランドのストレート写真、モダニズム、ドキュメンタリー、近代写真を読み解く写真史解説。
ja,/photographers/coburn.html,アルヴィン・ラングドン・コバーン｜モダニズムとヴォルテクシズム｜写真の座標,美術館・アーカイブ資料を手がかりに、アルヴィン・ラングドン・コバーンのモダニズム、ヴォルテクシズム、実験的技法を読み解く写真史解説。
ja,/photographers/manray.html,マン・レイ｜ダダとシュルレアリスム｜写真の座標,美術館・アーカイブ資料を手がかりに、マン・レイのダダ、シュルレアリスム、レイオグラフ、シュルレアリスム写真を読み解く写真史解説。
ja,/photographers/moholy.html,ラースロー・モホイ＝ナジ｜バウハウスと新しいヴィジョン｜写真の座標,美術館・アーカイブ資料を手がかりに、ラースロー・モホイ＝ナジのバウハウス、新しいヴィジョン、レイオグラフ、バウハウス写真を読み解く写真史解説。
ja,/photographers/sander.html,アウグスト・ザンダー｜新即物主義と社会ドキュメンタリー｜写真の座標,美術館・アーカイブ資料を手がかりに、アウグスト・ザンダーの新即物主義、社会ドキュメンタリー、ポートレートを読み解く写真史解説。
ja,/photographers/renger.html,アルベルト・レンガー＝パッチュ | 新即物主義と物の写真 | 写真の座標,レンガー＝パッチュは、ピクトリアリズムの美化ともバウハウス的な視覚実験とも異なる立場から、事物そのものの構造的な美しさを精密に示した新即物主義写真の中心人物である。
ja,/photographers/lange.html,ドロシア・ラング｜FSA写真と社会ドキュメンタリー｜写真の座標,美術館・アーカイブ資料を手がかりに、ドロシア・ラングのFSA写真、社会ドキュメンタリー、ドキュメンタリーを読み解く写真史解説。
